work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_usd_to_eur,salary_usd_to_gbp,salary_range,remote_ratio_percentage,company_size_category
2023,SE,FT,Principal Data Scientist,80000,EUR,85847,ES,100,ES,,72969.95,64385.25,50K-80K,1.0,
2023,MI,CT,ML Engineer,30000,USD,30000,US,100,US,,25500.0,22500.0,0-30K,1.0,
2023,MI,CT,ML Engineer,25500,USD,25500,US,100,US,,21675.0,19125.0,0-30K,1.0,
2023,SE,FT,Data Scientist,175000,USD,175000,CA,100,CA,,148750.0,131250.0,120K-200K,1.0,
2023,SE,FT,Data Scientist,120000,USD,120000,CA,100,CA,,102000.0,90000.0,80K-120K,1.0,
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,,188870.0,166650.0,200K+,0.0,
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,,115600.0,102000.0,120K-200K,0.0,
2023,SE,FT,Data Scientist,219000,USD,219000,CA,0,CA,,186150.0,164250.0,200K+,0.0,
2023,SE,FT,Data Scientist,141000,USD,141000,CA,0,CA,,119850.0,105750.0,120K-200K,0.0,
2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,,125035.0,110325.0,120K-200K,0.0,
2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,,77095.0,68025.0,80K-120K,0.0,
2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,,110500.0,97500.0,120K-200K,1.0,
2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,,85000.0,75000.0,80K-120K,1.0,
2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,,181611.0,160245.0,200K+,0.0,
2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,,111146.0,98070.0,120K-200K,0.0,
2023,SE,FT,Data Modeler,147100,USD,147100,US,0,US,,125035.0,110325.0,120K-200K,0.0,
2023,SE,FT,Data Modeler,90700,USD,90700,US,0,US,,77095.0,68025.0,80K-120K,0.0,
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,,144500.0,127500.0,120K-200K,0.0,
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,,127500.0,112500.0,120K-200K,0.0,
2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,,127500.0,112500.0,120K-200K,1.0,
2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,,93500.0,82500.0,80K-120K,1.0,
2023,SE,FT,Research Engineer,275000,USD,275000,DE,0,DE,,233750.0,206250.0,200K+,0.0,
2023,SE,FT,Research Engineer,174000,USD,174000,DE,0,DE,,147900.0,130500.0,120K-200K,0.0,
2023,SE,FT,Analytics Engineer,230000,USD,230000,GB,100,GB,,195500.0,172500.0,200K+,1.0,
2023,SE,FT,Analytics Engineer,143200,USD,143200,GB,100,GB,,121720.0,107400.0,120K-200K,1.0,
2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,,191250.0,168750.0,200K+,0.0,
2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,US,0,US,,132940.0,117300.0,120K-200K,0.0,
2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,,170000.0,150000.0,120K-200K,0.0,
2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,,110500.0,97500.0,120K-200K,0.0,
2023,SE,FT,Data Strategist,90000,USD,90000,CA,0,CA,,76500.0,67500.0,80K-120K,0.0,
2023,SE,FT,Data Strategist,72000,USD,72000,CA,0,CA,,61200.0,54000.0,50K-80K,0.0,
2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,,215220.0,189900.0,200K+,0.0,
2023,SE,FT,Data Engineer,90700,USD,90700,US,0,US,,77095.0,68025.0,80K-120K,0.0,
2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,,291388.5,257107.5,200K+,0.0,
2023,SE,FT,Computer Vision Engineer,184590,USD,184590,US,0,US,,156901.5,138442.5,120K-200K,0.0,
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,,138125.0,121875.0,120K-200K,0.0,
