title,company_name,location,description,salaries
Data Scientist,"Audible, Inc.","  Newark, NJ   ","Good storytelling starts with great listening. At Audible, that means each role and every project has our audience in mind. Because the same people who design, develop, and deploy our products also happen to use them. To us, that speaks volumes.

ABOUT THIS ROLE...
In this role, you’ll employ scalable cutting-edge machine learning (ML), deep learning (DL), and Natural Language Processing (NLP) techniques to better target customers and prospects, understand and personalize the content and context needed to optimize their book-listening experience, and translate business goals into agile, insightful analytics to inform critical business decisions. You’ll seek to create value for both stakeholders and customers and inform findings in a clear, actionable way to managers and senior leaders. You’ll operate in an agile environment in which we own and collaborate on the life cycle of research, design, and model development of relevant projects.

As a Data Scientist, you will:
- Develop and validate models to optimize the Who, When, Where and How of all our interactions with customers
- Develop Amazon-scale data engineering pipelines
- Imagine and invent before the business asks, and create groundbreaking applications using cutting-edge approaches
- Develop compelling data visualizations
- Work closely with other data scientists, ML experts, engineers as well as business across globe, and on cross-disciplinary efforts with other scientists within Amazon
- Contribute to the growth of the Audible Data Science team by sharing your ideas, intellectual property and learning from others

About Audible
At Audible, we innovate and inspire through the power of voice. We're changing the narrative on storytelling. As a leading creator and provider of premium audio storytelling, we've redefined the ways people access, discover, and share stories. The stories we tell have the ability to transport and transform everyday moments into meaningful experiences and it's our people who make Audible's service possible. We're listeners, storytellers, and problem-solvers. Our perspectives and experiences power our ideas and come together in our mission to unleash the power of the spoken word. Audible offers a Hub+Home hybrid workplace model that gives employees flexibility between gathering in an Audible workspace (work from hub) and remote work (work from home). For more information, please visit adbl.co/hybrid.

We are open to hiring candidates to work out of one of the following locations:

Newark, NJ, USA",
Data Scientist,Internal Revenue Service,"  Huntsville, AL   (+36 others)   ","Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information.

WHERE CAN I FIND OUT MORE ABOUT OTHER IRS CAREERS? Visit us on the web at www.jobs.irs.gov",
2024 University Graduate - Data Science Engineer - Full-time,Adobe,"  Biloxi, MS   ","Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen...

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Opportunity

Adobe Digital Insights (ADI) produces public insights covered by news outlets worldwide, on topics from the global economy to photography trends. Every year, tens of thousands of articles and hours of news footage are dedicated to the work this team does. C-level leadership at large businesses around the world also rely on insights produced by ADI. Today, Adobe is at the forefront of enabling digital transformation and new experience-led business models.

What You'll Do

ADI's unique data is a strategic asset for which there is ever increasing demand. As a Data Engineer, you'll architect and build a data environment and pipelines to suite our ever growing data appetite. This will require optimizing our current data flows and implementing new platform technologies and tools to better achieve our goals. We’re looking for someone who is comfortable working in a fast-paced environment, can adapt to shifting conditions and priorities, is meticulous and detailed, and is a self-starter. You will collaborate with data scientist and analyst on the team to define, synthesize and prioritize data requirements, and work with other engineering groups to assess the feasibility of potential approaches and you will build and implement those solutions.

What You Need to Succeed
• BS in Computer Science or related field
• 3+ years of engineering experience
• Experience with modern data platforms (Hadoop, Hive, Sqoop, HDFS)
• Experience with structured and unstructured databases (SQL, Mongo)
• An advanced background with high-level scripting language (Python, R)
• Familiarity with cloud environments (AWS, Azure, OpenStack)
• Solid understanding of the latest information management tools and technologies.
• Strong attention to detail and problem solving skills
• Proven leadership and self-direction.
• Desire to both guide others and learn new techniques.
• High energy, personal drive, and positivity

Our compensation reflects the cost of labor across several  U.S. geographic markets, and we pay differently based on those defined markets. The U.S. pay range for this position is $82,600 -- $153,100 annually. Pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process.

At Adobe, for sales roles starting salaries are expressed as total target compensation (TTC = base + commission), and short-term incentives are in the form of sales commission plans. Non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the Annual Incentive Plan (AIP).

In addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award.

Adobe is proud to be an Equal Employment Opportunity and affirmative action employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.

Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.

Adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each other’s employees",
"Senior Data Scientist, Machine Learning (NLP)",Discord, Anywhere ,"Discord is looking for experienced and passionate Machine Learning Data Scientists to join our Data Science team! You'll use your expertise in machine learning to help Discord achieve our mission of providing people with belonging in online communities. If you’re passionate about data, growth, and working on an amazing team, read on and check out our blog about how our team informs strategy ... innovation at Discord here!

What you'll be doing
• Apply state-of-the-art machine learning techniques to provide a deeper understanding of users, communities, and our product
• Build predictive models on massive data sets to support high impact company projects
• Brainstorm, communicate, and partner directly with product, engineering, and business teams to improve decision-making and drive impact
• Collaborate with data and engineering teams to design scalable primitives and inform our technical infrastructure

What you should have
• 4+ years of industry experience in developing and productionizing applied machine learning for solving business problems
• Expertise and experiences in both supervised and unsupervised learning
• Expertise and experiences in neural networks or reinforcement learning
• Expertise and experiences in modern NLP, large language models or generative AI
• Masters, PhD, or equivalent experience in a quantitative area such as Computer Science, Applied Stats, Math, Astrophysics
• Proficiency with Python
• Knowledge of SQL
• Experience working with machine learning frameworks such as TensorFlow, PyTorch, Spark ML, scikit-learn, or related frameworks
• Curious, passion for learning, self-motivated, and excited about solving open-ended challenges.
• The ability to explain complex findings and technical approaches to a variety of audiences
• Desire to work with amazing, passionate all kinds of partners who care about solving challenging problems to improve Discord for its users
• Last but not least - a collaborative attitude and natural curiosity!

Bonus Points
• Expertise and experiences in explainable and trustworthy ML/AI

The US base salary range for this full-time position is $204,000 to $235,000 + equity + benefits. Our salary ranges are determined by role and level. Within the range, individual pay is determined by additional factors, including job-related skills, experience, and relevant education or training. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include equity, or benefits.

Benefits and Perks
• Comprehensive medical insurance including Health, Dental and Vision (plus up to $20,000 for gender affirmation procedures)
• Mental health resources and quarterly wellness stipends
• 14+ paid holidays, 4 weeks of PTO + use-what-you-need sick days
• Paid parental leave (plus fertility, adoption and other family planning benefits)
• Flexible long-term work options (remote and hybrid)
• Volunteer time off
• A diverse slate of Employee Resource Groups
• Plus commuter contributions and other perks for office-based employees

About Us

Discord is a voice, video and text app that helps friends and communities come together to hang out and explore their interests — from artists and activists, to study groups, sneakerheads, plant parents, and more. With 150 million monthly users across 19 million active communities, called servers, Discord has grown to become one of the most popular communications services in the world. Discord was built without selling ads or user data and instead, offers a premium subscription called Nitro that gives users special perks like higher quality streams and fun customizations.

We’re working toward an inclusive world where no one feels like an outsider, where genuine human connection is a click, text chat, or voice call away. A place where everyone can find belonging. Challenging? Heck yes. Rewarding? Double heck yes. It’s a mission that gives us the chance to positively impact millions of people all over the world. So if this strikes a chord with you, come build belonging with us",
"Director, Data Science - Retail Media+",The Home Depot,"  Atlanta, GA   ","Position Purpose:

We are actively seeking a talented and experienced Director of Data Science, RM+. In this pivotal role, you will play a crucial part in supporting and driving the overall growth of our RM+ business specifically focusing on enhancing the onsite experience. Your responsibilities will encompass employing cutting-edge data science techniques to maximize the visibility and relevance of sponsored products within search and browse product listing pages as well as recommendation carousals. By utilizing advanced data analysis and modeling techniques, you will extract valuable insights, identify emerging trends, and make well-informed decisions that contribute to the continuous improvement of onsite RM+ performance.

Collaboration will be at the heart of your role, as you closely work with our exceptional product, engineering, and marketing teams. Together, you will forge a path towards exponential growth while maintaining the integrity of our organic customer experience... Your expertise in providing guidance and leadership will be instrumental in fostering an environment of innovation, collaboration, and continuous learning within our data science team.

If you are a dynamic and results-driven data science leader with a passion for driving business growth through advanced analytics and AI, we invite you to join us and make a significant impact on our onsite experience and overall business success.

Key Responsibilities:
• 35% People Management & Team Leadership - Provide leadership, mentorship and coaching to direct reports and evaluate performance, execution, and contribution; Establish a clear vision for the team and influence reach with business partners; Attract, retain and develop top talent to build an effective and high performing teams; Support team in development of business knowledge and technical skills with clear plans and regular assessment of progress; Develop onboarding and training plan for both technical and soft skills that will ensure high level of capabilities within the team; Foster collaboration and alignment between different data science roles to develop a supportive and engaged team; Ensure best practices and world-class techniques are leveraged in the solutioning for business problems and future team reach; Drive team's results and celebrates accomplishments
• 30% Data Science Advocacy - Collaborate with business leaders to align on objectives and expectations; Serve as escalation point for any issues or difficulties with specific projects or initiatives; Champion data science capabilities and new skills to continually identify ways to impact the business; Define effective metrics to understand the high level performance against business goals
• 35% Strategy & Business Development - Leverage extensive business knowledge and relationships to seek out new business opportunities to leverage data science and advocate for team's skills; Ensure a successful operating model and cost structure for Data Science is developed and leveraged across the enterprise to standardize ROI calculations and project/team funding; Effectively develop trust and collaboration with internal customers and cross-functional teams; Support data science research and innovation efforts that can serve as competitive advantage for the enterprise; Develop an integrated data science vision and end-to-end strategy; Drive adoption of leading-edge data science techniques and methods, both predictive and prescriptive

Direct Manager/Direct Reports:
• This position typically reports to Senior Director or above
• This position has Direct Reports and manages programs

Travel Requirements:
• Typically requires overnight travel less than 10% of the time.

Physical Requirements:
• Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.

Working Conditions:
• Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Minimum Qualifications:
• Must be eighteen years of age or older.
• Must be legally permitted to work in the United States.

Preferred Qualifications:
• Previous data science leadership experience: Proven track record of leading data science teams and delivering measurable results in an e-commerce setting.
• Strong understanding of e-commerce monetization: Familiarity with ads revenue generation strategies, pricing models, and sponsored product optimization infrastructure.
• Expertise in search and recommendation systems: In-depth knowledge of search stacks, recommendation engines, and personalization techniques used in e-commerce platforms.
• Proficiency in data analysis and modeling: Advanced skills in data analysis, statistical modeling, machine learning, and data visualization techniques.
• Experience in e-commerce analytics: Familiarity with key e-commerce metrics, A/B testing methodologies, and performance tracking to drive data-informed decision-making.
• Excellent communication and collaboration skills: Ability to effectively communicate complex ideas to both technical and non-technical stakeholders and collaborate cross-functionally to achieve common goals.
• Innovative mindset: Passion for leveraging advanced analytics and AI technologies to drive business growth.
• Strong leadership and mentoring abilities: Proven ability to lead and motivate a team, foster a culture of innovation, and promote continuous learning and growth.

Minimum Education:
• The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to the job.

Preferred Education:
• No additional education

Minimum Years of Work Experience:
• 10

Preferred Years of Work Experience:
• No additional years of experience

Minimum Leadership Experience:
• None

Preferred Leadership Experience:
• None

Certifications:
• None

Competencies:
• Attracts Top Talent: Attracting and selecting the best talent to meet current and future business needs
• Builds Effective Teams: Building strong-identity teams that apply their diverse skills and perspectives to achieve common goals
• Builds Networks: Effectively building formal and informal relationship networks inside and outside the organization
• Business Insight: Applying knowledge of the business and the marketplace to advance the organization's goals
• Communicates Effectively: Developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences
• Develops Talent: Developing people to meet both their career goals and the organization's goals
• Directs Work: Provides direction, delegating and removing obstacles to get work done
• Drives Engagement: Creating an environment where people are motivated to do their best to help the organization achieve its objectives- Drives Vision and Purpose: Painting a compelling picture of the vision and strategy that motivates others to action
• Instills Trust: Gaining the confidence and trust of others through honesty, integrity, and authenticity
• Interpersonal Savvy: Relating openly and comfortably with diverse groups of people
• Organizational Savvy: Maneuvering comfortably through complex policy, process, and people-related organizational dynamics
• Persuades: Using compelling arguments to gain the support and commitment of others
• Strategic Mindset: Seeing ahead to future possibilities and translating them into breakthrough strategies",
Sr. Data Scientist,Fanatics,"  New York, NY   ","Company Overview

Fanatics is building a leading global digital sports platform. The company ignites the passions of global sports fans and maximizes the presence and reach for hundreds of sports partners globally by offering innovative products and services across Fanatics Commerce, Fanatics Collectibles, and Fanatics Betting & Gaming, allowing sports fans to Buy, Collect and Bet. Through the... Fanatics platform, sports fans can buy licensed fan gear, jerseys, lifestyle and streetwear products, headwear, and hardgoods; collect physical and digital trading cards, sports memorabilia, and other digital assets; and bet as the company builds its Sportsbook and iGaming platform. Fanatics has an established database of over 100 million global sports fans, a global partner network with over 900 sports properties, including major national and international professional sports leagues, teams, players associations, athletes, celebrities, colleges, and college conferences, and over 2,000 retail locations, including its Lids retail business stores.

As a market leader with more than 18,000 employees, and hundreds of partners, suppliers, and vendors worldwide, we take responsibility for driving toward more ethical and sustainable practices. We are committed to building an inclusive Fanatics community, reflecting and representing society at every level of the business, including our employees, vendors, partners and fans. Fanatics is also dedicated to making a positive impact in the communities where we all live, work, and play through strategic philanthropic initiatives.

We are looking for senior-level Data Scientists to join our Data Engineering, Science, and Analytics team. Do you thrive at applying data science to solve business problems? As a data scientist, you will have ample opportunities to apply your data science skillset to unlock vast business opportunities by extracting key insights using a wide range of data sources, advanced statistical models, and machine learning algorithms and translating results into meaningful, goal-oriented business actions. Each day, you will be presented with a variety of new challenges and interesting projects that tap your interests and strengths.

Responsibilities:
• Collaborate with cross-functional partners in operations, finance, marketing, and engineering to understand business need and scope data science projects.
• Wrangle, process, cleanse, verify, and enrich data from different sources used for analysis.
• Help build data-informed business strategy and roadmaps.
• Translate business needs into data product requirements, evaluate technologies, and identify opportunities to innovate and improve our data science capabilities.
• Use creative problem-solving skills to analyze data and build statistical / machine learning models to help solve business problems from different perspectives.
• Work closely with data engineers to create services that can ingest and supply data to and from both internal and external sources and ensure data quality and timeliness.
• Lead the development of data visualization and dashboards to help the organization monitor performance, generate insights, and continuously improve user experience.
• Establish playbooks to drive process and consistent outcomes.
• Participating in the full life cycle of model development, which spans from business problem discovery, data discovery to model deployment and monitoring.

Qualifications:
• Master’s or Doctoral degree in Computer Science (with a focus on Deep Learning, Generative AI, Machine Learning, and Data Mining), Statistics, Econometrics, Physics, or other rigorous quantitative disciplines that require processing and modeling data at a complex and large scale.
• 6+ years of professional experience as a data scientist or an AI specialist.
• Proficient in Python, SQL, Spark, the associated Python and Spark packages commonly used by data scientists, and Deep Learning libraries, such as PyTorch.
• Proficient in wrangle and analyze data with complex relationships and time scale.
• Strong understanding of and practical experience in a wide range of machine learning algorithms and statistical modeling.
• Experience in using data visualization and dashboard tools.
• Working experience in cloud-native technology.
• Experience working with large structured and unstructured datasets stored in relational and NOSQL databases.
• Out of-the-box thinker and problem solver who can turn ambiguous business problems into clear data-driven solutions that deliver meaningful business impacts.
• Excellent organizational skills, verbal and written communication skills, and presentation skills.

The following is a plus:
• Proficient in other languages, such as R, used in data science.
• Basic knowledge of data engineering and MLOps.
• Certificates earned in data mining, machine learning, deep learning, statistical modeling, cloud computing, and data engineering.

$190,000 - $225,000 a year
The salary range for this position is $190,000-$225,000 which represents base pay only and does not include short-term or long-term incentive compensation. When determining base pay, as part of a final compensation package, we consider several factors such as location, experience, qualifications, and training.

Ensure your Fanatics job offer is legitimate and don’t fall victim to fraud. Fanatics never seeks payment from job applicants. Feel free to ask your recruiter for a phone call or other type of communication for interview, and ensure your communication is coming from a Fanatics or Fanatics Brand email address. For added security, where possible, apply through our company website at www.fanaticsinc.com/careers

Tryouts are open at Fanatics! Our team is passionate, talented, unified, and charged with creating the fan experience of tomorrow. The ball is in your court now.

Fanatics is committed to responsible planning and purchasing (RPP) practices, working with its business partners across its global and multi-layered supply chain, to ensure that planning, sourcing, and purchasing decisions, along with other supporting processes, do not impede or conflict with the fulfillment of Fanatics’ fair labor practices.

NOTICE TO CALIFORNIA RESIDENTS/APPLICANTS: In connection with your application, we collect information that identifies, reasonably relates to or describes you (“Personal Information”). The categories of Personal Information that we collect include your name, government issued identification number(s), email address, mailing address, other contact information, emergency contact information, employment history, educational history, criminal record, and demographic information. We collect and use those categories of Personal Information about you for human resources and other business management purposes, including identifying and evaluating you as a candidate for potential or future employment or other types of positions, recordkeeping in relation to recruiting and hiring, conducting criminal background checks as permitted by law, conducting analytics, and ensuring compliance with applicable legal requirements and Company policies. For additional information on how we collect and use personal information in connection with your job application, review our Candidate Privacy Policy-CA",
Data Science Analyst,Michaels Stores,"  Irving, TX   ","Support Center - Irving

The Data Science Analyst will review, measure, and provide insights on corporate-level tests. This Team Member will proactively mine data and produce analytical output. This individual will work with large scale and complex traditional and non-traditional data sources to identify opportunities that enhance performance and efficiency of marketing initiatives...

Major Activities
• Work with large scale and complex traditional and non-traditional data sources to identify opportunities that enhance performance and efficiency of business initiatives
• Demonstrate strong expertise in leveraging quantitative tools and approaches to transforming raw data into insights, such as data mining, dimension reduction, segmentation, response modeling, and designing of experiments
• Analyze marketing, customer, and sales data to measure and monitor performance by channel
• Create and automate reporting and the dashboards that support business partners across the company
• QA/QC data and report output to ensure accuracy
• Appropriately account for the timeliness and quality of all assignments
• Manage multiple projects concurrently
• Identify and generate ad hoc analysis to drive short term strategies

Minimum Knowledge/Skills/Abilities

Other duties as assigned

Minimum Education
• Bachelor’s degree in relevant quantitative discipline (statistics, economics, mathematics, computer science, electrical engineering, or a related scientific discipline)

Minimum Special Certifications Or Technical Skills
• Fluent in data fundamentals: SQL, data manipulation using a procedural language (R, Python), statistics, experimentation, and modeling
• Advanced Excel with higher level math and logic skills
• Well versed in data mining (databases, querying languages, SQL)

Minimum Type Of Experience The Job Requires
• Demonstrated skill communicating complex analysis to non-experts

Other
• Strong analytical thinker in an unstructured/ whitespace environment
• Ability to work in a fast-paced team environment, multi-task, and prioritize accordingly to deliver on multiple projects while maintaining a service-oriented, customer–centric focus
• Strong written and verbal communication skills
• High level of accuracy and attention to detail required

Applicants in the U.S. must satisfy federal, state, and local legal requirements of the job.

To review a comprehensive list of benefits, please visit Michaels Benefits (MIKBenefits.com)

CA, CO, CT, WA, RI and select New York cities only - To review pay ranges for the position you are applying for, please visit Michaels Pay Ranges - CA, CO, CT, WA, RI, and select New York cities only. (MIKBenefits.com)

For nearly 50 years, Michaels has been the destination where Makers get inspired, learn, shop, and create. We strive to cultivate an inclusive shopping environment for all Makers and work environment for all Team Members, providing a place of belonging and empowering everyone to bring their creative dreams to life. At Michaels, every Team Member is encouraged to hone their craft with opportunities for personal and professional growth. From our Stores and Distribution Centers to Artistree and our Support Center, our best-in-class team is passionate about leaving the world a better, more creative place by contributing to every “make”.

Michaels is an Equal Opportunity Employer. We are here for all Team Members and all Makers to create, innovate and be better together.

Michaels is committed to the full inclusion of all qualified individuals. In keeping with this commitment, Michaels will assure that people with disabilities are provided reasonable accommodations. Accordingly, if a reasonable accommodation is required to fully participate in the job application or interview process, to perform the essential functions of the job, and/or to receive all other benefits and privileges of employment, please contact Customer Care at 1-800-642-4235 (1800-MICHAEL).

EEOC Know Your Rights Poster in English

EEOC Know Your Rights Poster in Spanish

EEOC Poster Optimized for Screen Readers

Federal FMLA Poster

Federal EPPAC Poster",
Data Scientist,LEIDOS,"  Herndon, VA   ","Description

We are looking for a Data Scientist with an entrepreneur's mindset to support a fast-paced and growing data science team working on projects critical to National Security. The position is located within a classified space in the Northern Virginia area, and requires an active TS/SCI with Polygraph security clearance. Position is funded and an immediate fill opportunity...

The Data Scientist will be expected to build statistical models, test hypotheses, interpret, summarize, visualize, and succinctly report on data findings. The Data Scientist will perform research on various data sources, to include unstructured data using quantitative and qualitative content analytics. The Scientist will construct and perform complex database search queries in multiple databases using SQL and API interfaces. The Scientist will perform web scraping and apply various techniques for processing unstructured data. The Scientist will leverage automation and machine learning to manage data, predict scenarios and make recommendations. The Data Scientist will contribute to building new analytical tools and packages across the enterprise and will be expected to collaborate with team members in a highly technical environment. The Data Scientist will be expected to learn and leverage emerging technologies including AWS and Git.

Requirements:
• BS and 4 - 8 years of prior relevant experience or Masters with 2 - 6 years of prior relevant experience. May possess a Doctorate in technical domain.
• Experience with AI/ML.
• Must be able to obtain a TS/SCI clearance with polygraph - required to start
• Strong experience with Python.
• Experience working with data manipulation, analytic/business insight tools, and data visualization experience
• Experience with SciPy stack or Tidyverse packages
• Experience constructing and performing complex database search queries
• Experience/ knowledge of computer science concepts, data architecture, and experience/knowledge of statistics
• Demonstrated experience using statistical and machine learning techniques including supervised and unsupervised learning and natural language processing
• Experience /familiarity with frequentist statistics and probability including predicative modeling
• Experience with visualizing data using popular packages including Tableau, ggplot or Matplotlib
• Ability to communicate technical findings to non-technical audiences

Pay Range:
Pay Range $78,000.00 - $141,000.00

The Leidos pay range for this job level is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law",
(Intern) Enterprise Analytics Office Data Science Internship - Now...,Nationwide Insurance and Financial Services,"  Biloxi, MS   ","As a team member in the Finance and Internal Audit department at Nationwide, the opportunities are endless! You can grow and learn in diverse areas across many disciplines such as Advanced Analytics, Investments, Actuarial, Accounting, Risk Management, Critical Business Advisor and so much more. Let Nationwide help create your career journey!

Job Description Summary...

Description

Nationwide Insurance is seeking candidates for various Data Science internship positions to join the Enterprise Analytics Office (EAO) from May to August 2024.

EAO Data Scientists support all of Nationwide’s products by working with business partners to develop integrated, end-to-end solutions contributing to company success. We uphold a high standard for methodological rigor using sound statistical inference and robust model validation in our daily work.

As a Data Science Intern, you will work with real customer data, build and evaluate predictive or explanatory models, and provide recommendations using impactful storylines and advanced data visualizations catered to both technical and non-technical audiences. You will use enterprise-class analytic software tools and platforms including R, Python, Tableau, Teradata, and Amazon Web Services.

Graduate or undergraduate candidates will be considered, from any major. Some statistical and/or technical background is preferred.

Job Summary

As a Data Science Intern, you will take an active role on one or more projects within Nationwide’s Enterprise Analytics Office and participate in many or all phases of the analytic lifecycle, including:
• Working with team members and business partners to identify, define and research the business problem to be solved.
• Acquiring, preparing, and cleaning data sets from one or more data sources, some containing millions of rows and hundreds of dimensions.
• Analyzing and visualizing trends and patterns in structured and/or unstructured data and effectively communicating relevant insights in support of business problem solving.
• Building, implementing, evaluating, and documenting predictive and/or explanatory models and sharing insights and practical solutions with the team and business partners.

As an intern in the EAO, you’ll be part of a highly collaborative work environment and develop valuable technical and nontechnical skills beneficial to your development as a professional.

Smoke-Free Iowa Statement: Nationwide Mutual Insurance Company, its affiliates and subsidiaries comply with the Iowa Smokefree Air Act. Smoking is prohibited in all enclosed areas on or around company premises as well as company issued vehicles. The company offers designated smoking areas in which smoking is permitted at each individual location. The Act prohibits retaliation for reporting complaints or violations. For more information on the Iowa Smokefree Air Act, individuals may contact the Smokefree Air Act Helpline at 888-944-2247.

For NY residents please review the following state law information: Notice of Employee Rights, Protections, and Obligations LS740 (ny.gov) https://dol.ny.gov/system/files/documents/2022/02/ls740_1.pdf

Nationwide pays on a geographic-specific salary structure and placement within the actual starting salary range for this position will be determined by a number of factors including the skills, education, training, credentials and experience of the candidate; the scope, complexity and location of the role as well as the cost of labor in the market; and other conditions of employment.

$21 - $35",
Senior Manager of Data Science (Remote),"ezCater, Inc","  Boston, MA   ","ezCater is the most trusted provider of corporate food solutions and is purpose-built for business. ezCater's corporate food platform and flexible, scalable food solutions allow organizations to centralize and track their food spend, and fulfill everything from daily employee meals to client meetings and company all-hands. ezCater backs this up with business-grade, best-in-class, customer service... and an unmatched nationwide footprint. We're backed by top investors including Insight, Iconiq, Lightspeed, GIC, SoftBank, and Quadrille.

As a data-driven company we’re looking for an experienced Senior Manager of Data Science reporting directly to the Chief Data Officer (CDO), to be primarily responsible for leading the development and application of Data Science models.

This Senior Manager of Data Science will spearhead efforts to develop machine learning and prediction models that will be integrated into our application or business operations, including order recommendations to make our site even easier for customers to use and predicting delivery and fulfilment issues to ensure that customers are delighted in each interaction. The Senior Manager will be responsible for selecting the appropriate approach, designing and evaluating methodologies and overseeing analysts in developing models. Our ideal candidate will have proven, hands-on experience implementing a range of Data Science methods in a business setting, who is enthusiastic about working across our growing team of Analysts in coaching and establishing best practices in applying sophisticated models.

What You'll Do:
• Be the internal expert on our realtime machine learning and prediction models. Lead the design and implementation of prediction models to present recommended catering options to customers.
• Work directly across our business including the executive team, Product Management, Data, Software and Machine Learning Engineering to unlock business opportunities.
• Select the most appropriate modeling approach, design models and evaluate effectiveness.
• Own and develop the strategic analytic 6-12 month roadmap and agenda to deliver against our biggest business opportunities.
• Oversee the definition of performance metrics across real time machine learning model deployment.
• Recruit, lead, manage, mentor, and develop a growing team of Data Scientists.
• Collaborate with all facets of the organization including engineering to identify, capture, access and stream the data you need to drive our business results.

What You Have:
• 5+ years of experience in a quantitative or technical work environment.
• Experience designing and applying Data Science and/or ML methodologies in a business setting (such as Bayesian Optimal Experimental Design, Casual inference models. Random Forests etc.)
• Past experience leading and developing a team of Data Scientist in a business setting, with a track record of developing and deploying models with measurable results.
• Proven track record of collaborating with Data Scientists and business leaders in explaining methodologies and vetting models for performance, accuracy and quality.
• A disposition that is friendly, flexible and pragmatic, and the desire to learn something new every day and continue to grow.
• Self-directed and demonstrated ability to define, prioritize, and direct initiatives.
• Experience proactively identifying areas where Data Science efforts can add strong business value and setting the roadmap for a team.
• Demonstrated success in communicating with and influencing senior level stakeholders on strategic direction based on recommendations backed by in-depth analysis.
• Expert proficiency in R or Python (preferred).
• Experience partnering with business teams including product managers on agile model development.

The national cash compensation range for this role is $202,000 - $250,000*.
• Please note: Final offer amounts are determined by multiple factors, including prior experience, expertise and region & may vary from the amount above. This range does not represent additional compensation benefits (such as equity, 401K or medical, dental or vision insurance).

ezCater does not sponsor applicants for work visas or legal permanent residence.

What You’ll Get from Us:

You’ll get a terrifically compelling opportunity, in an environment of radical transparency, open access to all the data, and collaborative colleagues at every level of our organization. You’ll also get sane working hours and great flexibility around work/life balance.

Have people in your life – of any age – who always, often, or sometimes need your help? We make room for that. Have a bad thing or a good thing happen to you? We make room for that, too.

Oh, and you’ll get all this: Market salary, stock options that you’ll help make worth a lot, the usual holidays, all-you-can-eat vacation, 401K with ezCater match, health/dental/FSA, long-term disability insurance, remote-hybrid work from our awesome Boston or Denver offices OR your home OR a mixture of both home and office (you choose!), a tremendous amount of responsibility and autonomy, wicked awesome co-workers, cupcakes (and many more goodies) when you’re in one of our offices, and knowing that you helped get this rocket ship to the moon.

ezCater is an equal opportunity employer. We embrace humans of every background, appearance, race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, and disability status. At the same time, we do not employ jerks, even brilliant ones.

For information on how ezCater collects and uses job applicants' personal information, please visit our Job Applicant Privacy Policy.

#LI-Remote

#BI-Remote",
